#{"t_start": 1721083900.5577693, "env_id": "fertilization-v0"}
r,l,t
-1720.0,30,316.838342
-1900.0,30,317.716138
-1800.0,30,318.589665
-1920.0,30,319.465031
-2140.0,30,320.34612
-1480.0,30,321.249698
-1320.0,30,322.118679
-1600.0,30,322.983726
-1720.0,30,323.859088
-2220.0,30,324.721499
-1360.0,30,325.610275
-1720.0,30,326.51001
-1820.0,30,327.381037
-1820.0,30,328.234866
-1600.0,30,329.093351
-1800.0,30,329.940795
-1860.0,30,330.812615
-1560.0,30,331.717914
-1860.0,30,332.590675
-1720.0,30,333.483834
-1440.0,30,334.390642
-1960.0,30,335.261158
-1980.0,30,336.153584
-1820.0,30,337.072415
-1400.0,30,337.983025
-1680.0,30,338.861412
-1880.0,30,339.722518
-1600.0,30,340.583113
-1860.0,30,341.433603
-1720.0,30,342.293962
-2120.0,30,343.333064
-1460.0,30,344.234047
-1620.0,30,345.091995
-1700.0,30,345.963966
-1540.0,30,346.868921
-2160.0,30,347.721738
-1760.0,30,348.5944
-1600.0,30,349.472517
-1740.0,30,350.335554
-2060.0,30,351.202887
-1860.0,30,352.096495
-1520.0,30,352.954635
-1780.0,30,353.918921
-1680.0,30,354.833738
-1720.0,30,355.741892
-1580.0,30,356.627091
-1940.0,30,357.564714
-1520.0,30,358.44944
-1740.0,30,359.358667
-1900.0,30,360.245818
-2000.0,30,361.124765
-1600.0,30,361.991692
-1600.0,30,362.862055
-1700.0,30,363.731831
-1780.0,30,364.598784
-1380.0,30,365.465605
-1740.0,30,366.353349
-1240.0,30,367.238615
-1620.0,30,368.122082
-2180.0,30,368.977688
-1760.0,30,369.890713
-1400.0,30,370.753648
-1960.0,30,371.660213
-1800.0,30,372.557962
-1660.0,30,373.613406
-2000.0,30,374.589783
-1780.0,30,375.462509
-1560.0,30,376.341039
-2060.0,30,377.207104
-1820.0,30,378.064779
-2020.0,30,378.930413
-1800.0,30,379.811471
-1760.0,30,380.719923
-1900.0,30,381.605489
-1660.0,30,382.461095
-1380.0,30,383.324507
-1980.0,30,384.222087
-1600.0,30,385.109704
-1500.0,30,385.979615
-1760.0,30,386.83163
-1180.0,30,387.706141
-1480.0,30,388.605333
